timestamp,blink,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1565648693041,0,41,56,4812,5525,5167,5031,5428,7583,2482,5560,
1565648693541,0,43,56,4804,5476,4965,5048,5428,7556,2684,5512,
1565648694042,0,52,56,4795,5426,4762,5080,5419,7538,2747,5440,
1565648694542,0,60,55,4786,5389,4646,5113,5403,7530,2737,5411,
1565648695043,0,65,54,4777,5362,4633,5137,5383,7530,2800,5389,
1565648695544,0,52,55,4766,5345,4617,5142,5364,7537,2940,5348,
1565648696044,0,53,57,4758,5335,4594,5139,5349,7551,3082,5314,
1565648696544,0,59,56,4750,5328,4569,5132,5341,7567,3227,5342,
1565648697045,0,53,56,4746,5320,4560,5121,5347,7585,3413,5349,
1565648697545,0,44,58,4741,5306,4652,5107,5383,7605,3609,5296,
1565648698046,0,36,60,4738,5283,4842,5089,5443,7620,3682,5270,
1565648698547,0,38,61,4736,5253,5063,5060,5524,7632,3495,5404,
1565648699047,0,48,60,4737,5218,5242,4988,5615,7639,3128,5623,
1565648699548,0,51,57,4741,5183,5351,4887,5702,7640,2812,5681,
1565648700048,0,55,54,4751,5153,5437,4783,5786,7640,2588,5596,
1565648700549,8,48,53,4760,5135,5523,4699,5855,7638,2397,5473,
1565648701050,0,43,53,4773,5133,5632,4661,5902,7637,2203,5348,
1565648701550,0,51,55,4789,5140,5725,4667,5914,7636,2122,5136,
1565648702051,0,50,58,4814,5158,5792,4729,5906,7632,2018,4721,
1565648702552,0,49,59,4835,5174,5793,4812,5882,7632,1845,4416,
1565648703052,0,33,59,4861,5175,5778,4912,5867,7631,1597,4283,
1565648703553,0,30,57,4889,5163,5771,5019,5867,7631,1430,4229,
1565648704053,0,42,56,4917,5129,5749,5129,5887,7635,1498,4119,
1565648704553,0,51,55,4948,5084,5702,5274,5938,7637,1659,3881,
1565648705053,0,39,55,4985,5035,5659,5443,5988,7642,1854,3670,
1565648705554,0,27,57,5018,4984,5647,5614,6027,7652,2093,3692,
1565648706055,0,25,60,5053,4929,5676,5761,6063,7654,2459,3975,
1565648706556,0,25,61,5089,4871,5730,5865,6092,7655,2849,4293,
1565648707057,0,29,57,5123,4802,5793,5937,6109,7658,3097,4420,
1565648707558,0,44,53,5158,4723,5854,6011,6120,7649,3318,4545,
1565648708059,0,49,51,5191,4601,5909,6086,6124,7640,3505,4720,
1565648708559,0,52,51,5228,4448,6015,6162,6126,7633,3601,4888,
1565648709059,0,51,50,5260,4282,6171,6239,6146,7615,3529,4848,
1565648709560,0,61,48,5289,4125,6324,6316,6183,7595,3410,4719,
1565648710061,0,61,48,5318,3991,6411,6369,6227,7581,3414,4698,
1565648710561,0,63,48,5344,3887,6446,6396,6274,7554,3642,4742,
1565648711062,0,62,49,5366,3785,6496,6415,6315,7526,3955,4792,
1565648711563,0,56,51,5390,3703,6549,6447,6342,7505,4174,4813,
1565648712063,0,50,51,5407,3626,6582,6509,6351,7472,4335,4851,
1565648712564,0,51,49,5421,3550,6582,6604,6346,7438,4502,4894,
1565648713065,0,58,50,5433,3468,6532,6696,6331,7413,4743,4927,
1565648713565,0,57,56,5440,3380,6440,6796,6309,7376,5080,4990,
1565648714065,0,49,62,5445,3303,6318,6889,6282,7336,5452,5014,
1565648714565,0,49,68,5451,3241,6170,6966,6254,7305,5781,4931,
1565648715066,0,46,71,5452,3170,5986,7024,6230,7262,6081,4763,
1565648715566,57,42,72,5448,3104,5741,7061,6210,7215,6310,4656,
1565648716067,0,40,73,5444,3018,5473,7080,6199,7177,6466,4719,
1565648716568,0,37,71,5438,2906,5214,7085,6209,7124,6534,4808,
1565648717069,0,39,70,5428,2777,5022,7084,6243,7068,6589,4905,
1565648717570,0,48,69,5420,2655,4918,7081,6293,7022,6664,5026,
1565648718071,0,57,65,5409,2540,4868,7082,6348,6961,6602,5211,
1565648718571,11,53,60,5395,2437,4837,7085,6402,6897,6503,5362,
1565648719072,0,53,54,5380,2336,4771,7088,6443,6843,6468,5431,
1565648719573,0,44,51,5366,2260,4639,7086,6463,6775,6420,5551,
1565648720074,0,37,48,5350,2196,4473,7076,6458,6706,6364,5639,
1565648720575,0,35,43,5335,2133,4318,7051,6419,6650,6319,5573,
1565648721075,0,37,37,5321,2078,4230,7023,6356,6580,6326,5305,
1565648721576,0,31,35,5304,2039,4226,7025,6279,6510,6347,5081,
1565648722077,0,36,36,5290,2030,4240,7041,6204,6457,6362,5097,
1565648722577,0,34,36,5276,2053,4266,7052,6149,6391,6412,5257,
1565648723077,0,46,35,5260,2113,4311,7032,6127,6327,6445,5402,
1565648723578,0,45,35,5249,2196,4369,6966,6144,6280,6423,5444,
1565648724078,0,49,34,5237,2281,4474,6866,6188,6221,6383,5490,
1565648724579,0,55,30,5223,2364,4620,6747,6232,6164,6334,5515,
1565648725080,0,54,26,5212,2429,4763,6616,6271,6122,6322,5526,
1565648725581,0,46,26,5201,2474,4866,6484,6302,6065,6432,5613,
